epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,6122.91,1.14745,0.75695,1.09713,0.8454,0.7789,0.81661,0.50711,1.30573,0.78827,1.19468,0.000231182,0.000231182,0.000231182
68,6213.58,1.14003,0.75155,1.09693,0.84907,0.77789,0.82417,0.51314,1.28696,0.78079,1.18169,0.000224579,0.000224579,0.000224579
69,6304.36,1.13164,0.7438,1.09176,0.8671,0.78158,0.82561,0.51632,1.29976,0.77867,1.18874,0.000217976,0.000217976,0.000217976
70,6394.86,1.12462,0.73417,1.08686,0.84002,0.78768,0.82369,0.51487,1.2913,0.78314,1.18842,0.000211372,0.000211372,0.000211372
71,6485.41,1.12771,0.73946,1.09073,0.85161,0.78103,0.81353,0.51199,1.27986,0.77775,1.18452,0.000204769,0.000204769,0.000204769
72,6576.18,1.12647,0.74034,1.08918,0.88202,0.76198,0.82044,0.51345,1.29425,0.78186,1.18518,0.000198166,0.000198166,0.000198166
73,6666.93,1.12666,0.73793,1.08706,0.87012,0.76924,0.82487,0.51377,1.27475,0.76592,1.17911,0.000191562,0.000191562,0.000191562
74,6757.48,1.12154,0.73228,1.08376,0.87808,0.76944,0.82077,0.51035,1.28423,0.77796,1.18079,0.000184959,0.000184959,0.000184959
75,6848,1.11266,0.73185,1.08612,0.86326,0.79209,0.82197,0.50713,1.29582,0.777,1.18766,0.000178356,0.000178356,0.000178356
76,6938.65,1.11981,0.72529,1.08082,0.85772,0.77993,0.82703,0.51495,1.28372,0.77139,1.18509,0.000171752,0.000171752,0.000171752
77,7029.38,1.10876,0.72512,1.08183,0.86931,0.76692,0.82786,0.50995,1.2953,0.7752,1.18949,0.000165149,0.000165149,0.000165149
78,7120.27,1.10498,0.71049,1.07358,0.87336,0.76362,0.82988,0.51469,1.28565,0.78045,1.18695,0.000158546,0.000158546,0.000158546
79,7210.86,1.10138,0.71828,1.07681,0.85648,0.78486,0.82319,0.51036,1.29395,0.77932,1.1926,0.000151943,0.000151943,0.000151943
80,7301.13,1.09316,0.70737,1.0736,0.85104,0.79075,0.82805,0.51658,1.30358,0.77657,1.19867,0.000145339,0.000145339,0.000145339
81,7391.71,1.09495,0.70517,1.073,0.84513,0.77698,0.82142,0.5125,1.28648,0.77915,1.19335,0.000138736,0.000138736,0.000138736
82,7482.35,1.08376,0.69417,1.06835,0.84541,0.79343,0.8258,0.51599,1.28698,0.76983,1.18858,0.000132133,0.000132133,0.000132133
83,7573.18,1.08302,0.6924,1.06746,0.87217,0.76323,0.82891,0.5141,1.2897,0.77303,1.18902,0.000125529,0.000125529,0.000125529
84,7663.98,1.08309,0.69956,1.06756,0.8592,0.77124,0.82659,0.51102,1.29042,0.77599,1.18843,0.000118926,0.000118926,0.000118926
85,7754.95,1.07672,0.69174,1.06593,0.87016,0.7672,0.82299,0.51249,1.29506,0.78002,1.19419,0.000112323,0.000112323,0.000112323
86,7845.66,1.07584,0.69411,1.06465,0.8721,0.76339,0.82159,0.51186,1.29095,0.77584,1.19291,0.00010572,0.00010572,0.00010572
87,7936.19,1.07634,0.68553,1.06202,0.86496,0.76279,0.82378,0.51118,1.28873,0.77159,1.18939,9.91162e-05,9.91162e-05,9.91162e-05
88,8026.89,1.07006,0.68782,1.06248,0.86991,0.77154,0.82326,0.51024,1.28911,0.77404,1.18828,9.25129e-05,9.25129e-05,9.25129e-05
89,8117.53,1.06841,0.68444,1.06183,0.84126,0.79288,0.82438,0.50861,1.28553,0.77076,1.18718,8.59096e-05,8.59096e-05,8.59096e-05
90,8208.02,1.06907,0.68362,1.062,0.85248,0.78603,0.82498,0.51166,1.29113,0.77293,1.19087,7.93063e-05,7.93063e-05,7.93063e-05
91,8320.52,1.01881,0.58026,1.05539,0.84768,0.79283,0.82129,0.5085,1.29402,0.7739,1.19206,7.2703e-05,7.2703e-05,7.2703e-05
92,8409.84,0.9939,0.56292,1.04321,0.85193,0.79306,0.82574,0.51413,1.28878,0.76724,1.1895,6.60997e-05,6.60997e-05,6.60997e-05
93,8498.84,0.98425,0.55507,1.03741,0.8497,0.78779,0.82495,0.51199,1.29425,0.76619,1.19088,5.94964e-05,5.94964e-05,5.94964e-05
94,8587.69,0.98075,0.54996,1.03682,0.85145,0.78891,0.82674,0.51125,1.29294,0.77125,1.19054,5.28931e-05,5.28931e-05,5.28931e-05
95,8676.57,0.9789,0.54594,1.02962,0.87598,0.76883,0.8274,0.51442,1.29489,0.76776,1.18965,4.62898e-05,4.62898e-05,4.62898e-05
96,8765.61,0.96793,0.54194,1.02844,0.86468,0.77961,0.82809,0.51455,1.29228,0.76672,1.19038,3.96865e-05,3.96865e-05,3.96865e-05
97,8854.63,0.96863,0.53925,1.02981,0.85803,0.78715,0.82917,0.51418,1.29158,0.766,1.19106,3.30832e-05,3.30832e-05,3.30832e-05
98,8943.67,0.96676,0.53737,1.0282,0.87666,0.76829,0.82842,0.51625,1.29195,0.76457,1.19196,2.64799e-05,2.64799e-05,2.64799e-05
99,9032.89,0.96779,0.53887,1.03167,0.8767,0.77051,0.82855,0.51645,1.2907,0.76075,1.19073,1.98766e-05,1.98766e-05,1.98766e-05
100,9121.76,0.96082,0.53521,1.02887,0.8706,0.77161,0.82658,0.51611,1.28964,0.76283,1.19115,1.32733e-05,1.32733e-05,1.32733e-05
