epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3815.66,1.24799,0.88188,1.15828,0.86267,0.74393,0.79766,0.47819,1.32512,0.84427,1.20623,0.000396265,0.000396265,0.000396265
43,3906.78,1.2378,0.86631,1.15281,0.85901,0.7613,0.81473,0.49473,1.31316,0.81956,1.19727,0.000389661,0.000389661,0.000389661
44,4002.13,1.23869,0.87391,1.15082,0.87206,0.74703,0.81117,0.49269,1.30083,0.83794,1.19029,0.000383058,0.000383058,0.000383058
45,4093.74,1.23212,0.86385,1.15113,0.84468,0.74943,0.79565,0.48889,1.32527,0.84158,1.20603,0.000376455,0.000376455,0.000376455
46,4184.35,1.23072,0.8614,1.14605,0.84851,0.76712,0.81526,0.49925,1.30027,0.81499,1.19294,0.000369851,0.000369851,0.000369851
47,4275.71,1.21903,0.85021,1.14111,0.80702,0.78835,0.80689,0.49647,1.32871,0.8345,1.20634,0.000363248,0.000363248,0.000363248
48,4366.43,1.21116,0.83661,1.13525,0.83991,0.7808,0.8182,0.50762,1.31021,0.81932,1.19449,0.000356645,0.000356645,0.000356645
49,4457.2,1.21564,0.84391,1.13711,0.87484,0.74757,0.81497,0.51056,1.31335,0.81968,1.1966,0.000350042,0.000350042,0.000350042
50,4547.5,1.20815,0.82595,1.13825,0.83651,0.76383,0.80952,0.50794,1.30878,0.82616,1.20406,0.000343438,0.000343438,0.000343438
51,4638.18,1.20055,0.81912,1.12954,0.85435,0.76359,0.809,0.49435,1.30245,0.81115,1.19466,0.000336835,0.000336835,0.000336835
52,4729.11,1.20206,0.81766,1.12689,0.82716,0.76905,0.80865,0.49996,1.29157,0.82093,1.18952,0.000330232,0.000330232,0.000330232
53,4819.93,1.19386,0.81778,1.12605,0.85429,0.75792,0.81082,0.50329,1.29742,0.80183,1.19752,0.000323628,0.000323628,0.000323628
54,4911.22,1.20131,0.81599,1.1262,0.86561,0.77503,0.81775,0.50699,1.28934,0.79933,1.1922,0.000317025,0.000317025,0.000317025
55,5002.96,1.18619,0.80723,1.1231,0.87426,0.75064,0.81239,0.50107,1.30881,0.80739,1.20106,0.000310422,0.000310422,0.000310422
56,5093.2,1.18051,0.7957,1.11618,0.8767,0.75352,0.81405,0.50383,1.3148,0.80379,1.19361,0.000303818,0.000303818,0.000303818
57,5183.25,1.1783,0.79479,1.11574,0.87402,0.76865,0.82211,0.50908,1.31506,0.8002,1.20217,0.000297215,0.000297215,0.000297215
58,5273.45,1.17717,0.79855,1.11814,0.81407,0.79339,0.82416,0.50675,1.29329,0.79364,1.19024,0.000290612,0.000290612,0.000290612
59,5364.17,1.16955,0.78395,1.11327,0.86906,0.76856,0.81892,0.50639,1.30265,0.79337,1.19544,0.000284009,0.000284009,0.000284009
60,5454.75,1.17106,0.78965,1.11069,0.8688,0.74848,0.81751,0.50153,1.31261,0.79482,1.19888,0.000277405,0.000277405,0.000277405
61,5545.78,1.16563,0.77985,1.11086,0.85554,0.76189,0.81195,0.50539,1.29301,0.80229,1.19091,0.000270802,0.000270802,0.000270802
62,5636.62,1.15676,0.77389,1.10502,0.85768,0.76303,0.81734,0.51071,1.30014,0.79209,1.19202,0.000264199,0.000264199,0.000264199
63,5727.28,1.16134,0.77367,1.10716,0.85848,0.76349,0.81141,0.50685,1.31751,0.80164,1.19819,0.000257595,0.000257595,0.000257595
64,5817.88,1.15816,0.76619,1.10478,0.86883,0.75398,0.81887,0.50818,1.2875,0.78914,1.18406,0.000250992,0.000250992,0.000250992
65,5908.74,1.14913,0.76206,1.09848,0.85015,0.76528,0.81702,0.50626,1.31357,0.78536,1.19513,0.000244389,0.000244389,0.000244389
66,5999.42,1.13934,0.75518,1.09746,0.82886,0.78568,0.81997,0.5044,1.31126,0.78634,1.19634,0.000237785,0.000237785,0.000237785
67,6090.47,1.14745,0.75695,1.09713,0.8454,0.7789,0.81661,0.50711,1.30573,0.78827,1.19468,0.000231182,0.000231182,0.000231182
68,6182.12,1.14003,0.75155,1.09693,0.84907,0.77789,0.82417,0.51314,1.28696,0.78079,1.18169,0.000224579,0.000224579,0.000224579
69,6273.7,1.13164,0.7438,1.09176,0.8671,0.78158,0.82561,0.51632,1.29976,0.77867,1.18874,0.000217976,0.000217976,0.000217976
70,6363.92,1.12462,0.73417,1.08686,0.84002,0.78768,0.82369,0.51487,1.2913,0.78314,1.18842,0.000211372,0.000211372,0.000211372
71,6454.44,1.12771,0.73946,1.09073,0.85161,0.78103,0.81353,0.51199,1.27986,0.77775,1.18452,0.000204769,0.000204769,0.000204769
72,6545.1,1.12647,0.74034,1.08918,0.88202,0.76198,0.82044,0.51345,1.29425,0.78186,1.18518,0.000198166,0.000198166,0.000198166
73,6635.76,1.12666,0.73793,1.08706,0.87012,0.76924,0.82487,0.51377,1.27475,0.76592,1.17911,0.000191562,0.000191562,0.000191562
74,6726.56,1.12154,0.73228,1.08376,0.87808,0.76944,0.82077,0.51035,1.28423,0.77796,1.18079,0.000184959,0.000184959,0.000184959
75,6817.79,1.11266,0.73185,1.08612,0.86326,0.79209,0.82197,0.50713,1.29582,0.777,1.18766,0.000178356,0.000178356,0.000178356
76,6909.08,1.11981,0.72529,1.08082,0.85772,0.77993,0.82703,0.51495,1.28372,0.77139,1.18509,0.000171752,0.000171752,0.000171752
77,7000.45,1.10876,0.72512,1.08183,0.86931,0.76692,0.82786,0.50995,1.2953,0.7752,1.18949,0.000165149,0.000165149,0.000165149
78,7091.2,1.10498,0.71049,1.07358,0.87336,0.76362,0.82988,0.51469,1.28565,0.78045,1.18695,0.000158546,0.000158546,0.000158546
79,7182.43,1.10138,0.71828,1.07681,0.85648,0.78486,0.82319,0.51036,1.29395,0.77932,1.1926,0.000151943,0.000151943,0.000151943
80,7272.72,1.09316,0.70737,1.0736,0.85104,0.79075,0.82805,0.51658,1.30358,0.77657,1.19867,0.000145339,0.000145339,0.000145339
