epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1468.76,1.89068,3.12689,1.48587,0.58133,0.30574,0.29174,0.15331,1.55892,2.36112,1.32291,0.000221662,0.000221662,0.000221662
2,2913.27,1.68016,2.16216,1.39433,0.54767,0.44976,0.43222,0.23079,1.60655,1.94232,1.34808,0.000439599,0.000439599,0.000439599
3,4532.08,1.63656,1.92166,1.39411,0.74567,0.41633,0.51877,0.27542,1.59651,1.68637,1.35292,0.000653135,0.000653135,0.000653135
4,5877.33,1.60155,1.7574,1.372,0.71046,0.49266,0.54148,0.28976,1.52594,1.60073,1.34261,0.00064719,0.00064719,0.00064719
5,7291.54,1.56737,1.63959,1.35336,0.75003,0.52548,0.59259,0.32743,1.43658,1.46907,1.27226,0.000640587,0.000640587,0.000640587
6,8855.71,1.55753,1.55329,1.3467,0.73619,0.46234,0.55437,0.28689,1.60632,1.53287,1.35213,0.000633983,0.000633983,0.000633983
7,10425,1.52119,1.48234,1.33599,0.74436,0.59816,0.65614,0.37967,1.44336,1.25921,1.26861,0.00062738,0.00062738,0.00062738
8,11995.5,1.51062,1.42846,1.31861,0.72364,0.56173,0.63824,0.37226,1.4532,1.29349,1.28623,0.000620777,0.000620777,0.000620777
9,13408.8,1.49563,1.40592,1.31649,0.71708,0.62336,0.66556,0.36393,1.49234,1.25905,1.30976,0.000614174,0.000614174,0.000614174
10,14635.4,1.48439,1.36685,1.31163,0.7923,0.62592,0.70187,0.41274,1.38583,1.12677,1.25325,0.00060757,0.00060757,0.00060757
11,15834.1,1.47833,1.33807,1.30084,0.7903,0.62923,0.70957,0.4186,1.39366,1.13823,1.26472,0.000600967,0.000600967,0.000600967
12,16994.4,1.45459,1.29945,1.28979,0.77417,0.61973,0.70425,0.40868,1.3999,1.17501,1.2526,0.000594364,0.000594364,0.000594364
13,18137.8,1.45256,1.26834,1.28448,0.78794,0.65741,0.73863,0.43665,1.37324,1.06673,1.23082,0.00058776,0.00058776,0.00058776
14,19272.4,1.43804,1.25264,1.28176,0.79025,0.67802,0.73509,0.42382,1.38402,1.05209,1.25293,0.000581157,0.000581157,0.000581157
15,26188.7,1.43764,1.22361,1.2768,0.80892,0.65186,0.73288,0.4416,1.35238,1.07335,1.23529,0.000574554,0.000574554,0.000574554
16,27320.6,1.41103,1.19615,1.26333,0.81053,0.66094,0.74768,0.44277,1.36752,1.02658,1.23977,0.00056795,0.00056795,0.00056795
17,28446.1,1.4091,1.18529,1.26365,0.74272,0.69717,0.73022,0.42295,1.41551,1.0377,1.25575,0.000561347,0.000561347,0.000561347
18,29580.8,1.40486,1.16636,1.25947,0.81701,0.6829,0.75855,0.44089,1.43017,1.03178,1.25717,0.000554744,0.000554744,0.000554744
19,30709.2,1.39642,1.14518,1.25235,0.79227,0.71643,0.77274,0.46893,1.34425,1.00127,1.23097,0.000548141,0.000548141,0.000548141
20,31857.1,1.38505,1.12286,1.24191,0.74773,0.72527,0.76117,0.45778,1.34562,0.97968,1.22899,0.000541537,0.000541537,0.000541537
21,33032.7,1.38986,1.11429,1.24828,0.79617,0.73652,0.7834,0.47638,1.34187,0.94817,1.22463,0.000534934,0.000534934,0.000534934
22,34205.1,1.37289,1.1012,1.23677,0.83554,0.68997,0.77334,0.46671,1.36998,0.95956,1.24162,0.000528331,0.000528331,0.000528331
23,35346.5,1.36002,1.07947,1.23029,0.80846,0.71425,0.77332,0.47141,1.3666,0.97041,1.24069,0.000521727,0.000521727,0.000521727
24,36475.1,1.36644,1.09052,1.23629,0.80335,0.74821,0.79099,0.48477,1.33672,0.93225,1.22475,0.000515124,0.000515124,0.000515124
25,38409.3,1.35528,1.05667,1.23077,0.79724,0.72809,0.78039,0.47299,1.33977,0.94535,1.22176,0.000508521,0.000508521,0.000508521
26,39551.6,1.34737,1.05195,1.22198,0.83143,0.71347,0.78053,0.47247,1.3207,0.92749,1.21772,0.000501917,0.000501917,0.000501917
27,40941.4,1.34395,1.03667,1.22355,0.79866,0.73424,0.78369,0.47224,1.34861,0.94002,1.23423,0.000495314,0.000495314,0.000495314
28,42067.5,1.34081,1.01973,1.21499,0.82421,0.74031,0.78711,0.47379,1.36255,0.92562,1.22906,0.000488711,0.000488711,0.000488711
29,43197.9,1.33276,1.01787,1.21596,0.83733,0.72453,0.79751,0.48988,1.34093,0.91705,1.2268,0.000482108,0.000482108,0.000482108
30,44812.7,1.32588,1.00387,1.20995,0.84129,0.73819,0.78961,0.47576,1.33746,0.90911,1.22343,0.000475504,0.000475504,0.000475504
31,45950,1.31547,1.00505,1.20786,0.85047,0.74634,0.80446,0.48613,1.31934,0.90414,1.21716,0.000468901,0.000468901,0.000468901
32,47090.1,1.32438,0.99026,1.20606,0.84444,0.71753,0.78201,0.46907,1.33212,0.9236,1.20968,0.000462298,0.000462298,0.000462298
33,48226.7,1.30792,0.98224,1.19743,0.83006,0.73603,0.78634,0.46725,1.35963,0.91323,1.23112,0.000455694,0.000455694,0.000455694
